image_ID,artefact_ID,artefact_type,archaeological_culture_name,site_name,level_layer_concentration,country,latitude_y,longitude_x,archaeological_period,dating_BP,dating_sd_BP,dating_labcode,dating_method,citation_reference,editor_name,description
ALI_21,ALI_21_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_22,ALI_22_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_23,ALI_23_pseudo_no_2,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_24,ALI_24_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_25,ALI_25_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_26,ALI_26_pseudo_no_4,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_27,ALI_27_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_28,ALI_28_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_29,ALI_29_pseudo_no_2,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_3,ALI_3_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_30,ALI_30_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_31,ALI_31_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_32,ALI_32_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_33,ALI_33_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_34,ALI_34_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_35,ALI_35_pseudo_no_2,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_36,ALI_36_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_37,ALI_37_pseudo_no_2,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_38,ALI_38_pseudo_no_6,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_39,ALI_39_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_4,ALI_4_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_5,ALI_5_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_6,ALI_6_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_7,ALI_7_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_8,ALI_8_pseudo_no_1,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
ALI_9,ALI_9_pseudo_no_12,Bifacial point,Unknown,Alice Boer,NA,Brazil,-22.449469,-47.66102,Mid Holocene,7200,40,Beta 320198,Radiocarbon dating,Araujo et al. 2022,Araujo/Okumura,"The dataset is composed of photographs of 39 complete bifacial projectile points coming from a lithic assemblage from Alice Boer site, Rio Claro region, stored in a private collection. This set of bifacial points was previously attributed to the Umbu tradition; however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from Rio Claro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
GDM_2316,GDM_2316_pseudo_no_1,Bifacial point,Unknown,Gruta do Marinheiro,"Esc 3 North, Level 35-45",Brazil,-20.363735,-45.66442,Na,NA,NA,NA,NA,NA,Araujo/Okumura,"The dataset is composed of photographs of 31 complete bifacial projectile points coming from a lithic assemblage of 60 projectile points recovered at the site Gruta do Marinheiro (Pains, Minas Gerais, Brazil). The dataset of points corresponds to two sectors: Esc. South and Esc. North. Sector Esc. South was the only one dated (levels 55-65 cm and 95-105 cm), and the archaeological package comprises 70 cm in thickness, dating from the Paleoindian period to a late hunter gatherer period. This set of bifacial points was previously attributed to the Umbu tradition (Koole 2007); however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from site Gruta do Marinheiro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
GDM_2319b,GDM_2319b_pseudo_no_1,Bifacial point,Unknown,Gruta do Marinheiro,"Esc 3 North, Level 35-45",Brazil,-20.363735,-45.66442,Na,NA,NA,NA,NA,NA,Araujo/Okumura,"The dataset is composed of photographs of 31 complete bifacial projectile points coming from a lithic assemblage of 60 projectile points recovered at the site Gruta do Marinheiro (Pains, Minas Gerais, Brazil). The dataset of points corresponds to two sectors: Esc. South and Esc. North. Sector Esc. South was the only one dated (levels 55-65 cm and 95-105 cm), and the archaeological package comprises 70 cm in thickness, dating from the Paleoindian period to a late hunter gatherer period. This set of bifacial points was previously attributed to the Umbu tradition (Koole 2007); however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from site Gruta do Marinheiro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
GDM_2319d,GDM_2319d_pseudo_no_8,Bifacial point,Unknown,Gruta do Marinheiro,"Esc 3 North, Level 35-45",Brazil,-20.363735,-45.66442,Na,NA,NA,NA,NA,NA,Araujo/Okumura,"The dataset is composed of photographs of 31 complete bifacial projectile points coming from a lithic assemblage of 60 projectile points recovered at the site Gruta do Marinheiro (Pains, Minas Gerais, Brazil). The dataset of points corresponds to two sectors: Esc. South and Esc. North. Sector Esc. South was the only one dated (levels 55-65 cm and 95-105 cm), and the archaeological package comprises 70 cm in thickness, dating from the Paleoindian period to a late hunter gatherer period. This set of bifacial points was previously attributed to the Umbu tradition (Koole 2007); however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from site Gruta do Marinheiro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
GDM_2319e,GDM_2319e_pseudo_no_3,Bifacial point,Unknown,Gruta do Marinheiro,"Esc 3 North, Level 35-45",Brazil,-20.363735,-45.66442,Na,NA,NA,NA,NA,NA,Araujo/Okumura,"The dataset is composed of photographs of 31 complete bifacial projectile points coming from a lithic assemblage of 60 projectile points recovered at the site Gruta do Marinheiro (Pains, Minas Gerais, Brazil). The dataset of points corresponds to two sectors: Esc. South and Esc. North. Sector Esc. South was the only one dated (levels 55-65 cm and 95-105 cm), and the archaeological package comprises 70 cm in thickness, dating from the Paleoindian period to a late hunter gatherer period. This set of bifacial points was previously attributed to the Umbu tradition (Koole 2007); however, preliminary GMM studies (Okumura & Araujo 2013, 2015, 2016) showed that points from site Gruta do Marinheiro were significantly different from southern Umbu points, so a new archaeological culture needs to be assigned to this lithic industry. All photos of artifacts were taken by Mercedes Okumura."
